Attributes,Attribute_Code,Attribute_ID
No Surrender of Others' ,,10040
Freedom Use with the GNU Affero General Public License ,GNU_Compatlible,10041
Revised Versions of this License ,Revised_Modified_Version,10042
Disclaimer of Warranty ,Warranty_Disclaimer,10043
Limitation of Liability ,Liabilty_Disclaimer,10044
Interpretation of Sections 15 and 16,Section15&16,10045
Definitions,Define,10046
Permission for Use and Modification Without Distribution,Permits_UM,10047
Permissions for Redistribution of the Standard Version,Permits_ RS,10048
Distribution of Modified Versions of the Package as Source,,10049
Distribution of Compiled Forms of the Standard Version or Modified Versions without the Source,Revised_Modified_Version,10050
Aggregating or Linking the Package,,10051
Items That are Not Considered Part of a Modified Version,,10052
General Provisions,GP,10053
Obtain copyright notice,G_Copyright,10054
"Right to Use, copy, distribute",Permits_UCD,10055
Right to modify,Permits_M,10056
Right to Publish,Permits_P,10057
Right to sublicense and sell copies,Licensing,10058
 Limitations ,Limits,10059
No Warranty , No_Warranty_Disclaimer,10060
Definitions ,Define,10061
License Grants and Conditions,Licensing,10062
Responsibilities,Responsibilty,10063
Inability to comply due to Statute or Regulation,Legal_Implication,10064
Termination,terminate,10065
Disclaimer of Warranty,Warranty_Disclaimer,10066
Limitation of Liability,Liability_Disclaimer,10067
Litigation,Legal_Implication,10068
Miscellaneous,Miscellaneous,10069
Versions of the License,Revised_Modified_Version,10070
